,ax,ay,az
501,-16.965412,-37.311584,-14.648262
502,-1.6486548,-21.46302,-6.2350974
503,2.716153,-15.570097,-15.304494
504,4.6779685,-15.34248,-25.598118
505,5.5713882,-19.92982,-12.856337
506,3.865904,-25.099215,-10.683654
507,7.590931,-28.060034,-12.065808
508,19.362421,-31.617561,-11.670693
509,23.46342,-32.58516,-12.980763
510,12.08495,-37.543987,-22.697119
511,5.889933,-42.25336,1.5933207
512,5.628816,-37.246975,32.69882
513,-2.4032912,-24.189045,73.978
514,-14.0907345,-15.780965,53.546883
515,-20.611475,-14.968901,36.43342
516,-24.537498,-8.481659,9.2997055
517,-14.991632,-3.8751762,7.3136625
518,-5.131707,-2.155335,17.854046
519,-0.17527425,-2.6389842,20.92972
520,4.531707,-3.242873,16.553247
521,11.48824,-2.87378,9.536894
522,14.041981,-3.9828532,3.3397822
523,12.530314,-4.47398,-2.4909284
524,7.643573,-4.802395,-3.7534413
525,3.9759738,-4.596313,-1.9567307
526,1.4153546,-3.0152557,-1.192523
527,0.31106696,-1.1515459,-1.6070795
528,0.11694921,0.41515473,-1.8729819
529,-0.4124628,1.3950156,-2.5701907
530,-1.1503495,1.6127625,-2.6635108
531,-1.4880366,1.2678969,-0.2009971
532,-1.7659031,0.96849495,1.4231312
533,-1.2293127,-1.096511,3.7325041
534,-0.54675996,-4.751847,4.8008995
535,0.84765744,-6.608378,3.2365918
536,3.525824,-15.371194,7.943872
537,3.772285,-58.89275,22.065115
538,-3.9649072,-77.56065,-1.1446666
539,-19.80659,-71.045,8.132905
540,-26.533113,-57.503117,3.9361932
541,-14.804693,-30.525238,0.5297111
542,-5.907879,-19.45305,9.402596
543,0.01375873,-16.085152,5.0548377
544,20.351555,-13.816457,-9.480962
545,13.59871,-13.236795,-9.1719885
546,2.0093727,-7.003792,-4.503292
547,0.933799,-1.5418751,-6.4411793
548,3.173481,0.78873414,-7.3609204
549,2.565106,5.5079784,-10.005588
550,1.5661024,8.128717,-9.25125
551,0.20787647,10.171889,-12.908979
552,-3.572185,11.618949,-13.469498
553,-4.008277,12.246467,-19.237995
554,-3.493222,12.60838,-20.42364
555,-3.246462,10.957632,-18.198313
556,-1.9887347,7.989635,-15.086448
557,-0.50817573,4.8732824,-11.210673
558,-1.0713863,2.1230319,-6.48425
559,-1.3564314,0.2425724,-4.4264226
560,-2.1254246,-2.356332,-2.8022945
561,-3.2201412,-4.665705,0.062512495
562,-3.423531,-5.2645087,1.5335002
563,5.480461,-8.82443,75.11848
564,-4.8323054,-19.754845,5.3327045
565,3.5039897,-9.293723,-40.905304
566,1.2786646,-8.682955,-2.1005993
567,0.5383851,-12.6116705,20.191833
568,0.6008976,-12.199507,-13.740186
569,-5.311169,-18.241085,-6.7381887
570,-19.919052,-39.764526,-13.402499
571,-15.128023,-41.89414,-13.443176
572,2.4188447,-26.711378,-14.257634
573,6.6038914,-19.740488,-22.622643
574,8.82443,-18.497416,-16.883158
575,9.227023,-20.222044,-14.732011
576,14.973686,-21.966112,-13.282858
