,ax,ay,az
501,-0.8700901,1.7805592,-1.0130613
502,-0.9418748,1.7111673,-0.9915259
503,-1.076172,0.9804591,-0.95802635
504,-0.9059825,0.9637093,-1.57358
505,-1.11685,0.927817,-2.6228328
506,-0.965803,1.2966107,-3.188137
507,-0.6161518,1.8164514,-3.8156548
508,-0.26650062,2.2669003,-4.886443
509,0.008973085,2.4705894,-5.406284
510,0.3397808,2.4442682,-4.3666024
511,0.59611195,2.096711,-2.6276183
512,-0.23988047,1.2607185,-1.4488541
513,-0.77677006,0.7959126,-0.8787641
514,-0.92512506,0.52283174,-0.56500524
515,-0.8676973,0.32422748,-0.4621139
516,-0.84137625,0.058325052,-0.4884349
517,-0.82701933,-0.1788635,-0.77587277
518,-0.85094756,-0.4543372,-1.2358929
519,-0.831805,-0.72023964,-1.6214365
520,-0.8533404,-0.9765707,-1.9830518
521,-0.8102696,-1.0630114,-1.9806589
522,-0.5395815,-0.878465,-1.0992029
523,-0.62093747,-0.9382856,-0.5195416
524,-0.86530447,-1.1491531,-0.7686943
525,-6.9499536,-4.546064,40.52963
526,-11.501401,-12.204293,10.569397
527,-10.11177,-13.473985,-11.370993
528,-2.800799,-12.18515,-9.064311
529,-6.017949,-33.299118,34.253555
530,-3.8931224,-76.40612,54.356556
531,-1.68694,-77.65906,32.95515
532,0.12412767,-53.10511,-13.10549
533,-0.8437691,-25.841887,-14.715261
534,-9.920343,-14.743676,-6.4052873
535,-13.111173,-9.042177,-0.33260235
536,-13.103994,-5.015356,5.2920265
537,-8.708079,-0.5168497,-0.9457632
538,-5.9342003,1.2200404,-8.36471
539,-4.499105,2.7508488,-5.7873406
540,-1.9360926,4.154538,2.44367
541,-0.06281159,3.99392,14.445171
542,-1.0304092,3.344867,17.343777
543,-0.75254273,2.7436702,23.442783
544,1.3842479,-2.6102705,17.180765
545,2.3422742,-6.9822564,12.042479
546,7.437491,-12.491731,7.8023963
547,5.425426,-12.513266,6.348458
548,-3.370889,-7.4563346,10.8352995
549,-9.323633,-2.8761728,13.0773735
550,-4.7171507,8.610273,6.0777693
551,-1.9815563,6.41097,7.203593
552,-0.8102696,-0.111864455,9.845867
553,-1.2723835,-2.2534406,11.489138
554,-2.7481568,-3.281158,11.874681
555,-5.15085,-4.2463627,11.903694
556,-7.21107,-4.6872406,11.910872
557,-8.092526,-3.8464625,10.506885
558,-6.7223363,-1.977967,8.971589
559,-5.368896,-0.5021936,8.082656
560,-4.7769713,0.6619146,8.78465
561,-4.2068815,1.0546366,9.991829
562,-4.3172503,-0.3059822,10.746466
563,-4.5855455,-1.0725827,10.885549
564,-5.5579286,-1.666601,11.158629
565,-6.2790656,-1.4868401,10.842478
566,-6.875477,-0.8665009,10.451849
567,-7.2062845,-0.41605204,10.221839
568,-6.9499536,-0.26291138,10.008579
569,-6.571289,-0.31076783,9.649357
570,-6.216852,-0.15732808,9.795618
571,-5.8911295,-0.23389842,10.521241
572,-5.79751,-0.41605204,11.223235
573,-5.922236,-0.53359944,11.335698
574,-6.2718873,-0.5623133,11.345269
575,-6.2718873,-0.4351946,11.266306
576,-6.029913,-0.44715872,10.897512
577,-5.977271,-0.5982057,10.3848505
578,-6.0753765,-0.7609176,10.468599
579,-6.4157557,-1.1515459,10.986047
580,-6.6768723,-1.4246268,10.6770735
581,-6.6744795,-1.4413766,10.403993
582,-6.6478596,-1.4413766,10.252946
583,-6.38435,-1.3911272,10.025628
