,gx,gy,gz
501,0.560246,-3.6798475,-0.003129122
502,2.0457134,-1.4891958,0.19673522
503,3.5290504,0.4418054,0.29853156
504,4.3392267,1.8926528,0.3315538
505,4.7213793,3.2448995,0.2574535
506,4.3706512,4.4963484,0.23242053
507,2.384724,4.666919,0.38328415
508,1.6459848,3.4176004,0.33634734
509,0.5437349,-0.7424674,0.14607008
510,0.11890664,-2.433192,-0.26750663
511,-0.20299347,-2.052105,-0.6363436
512,-0.037749194,-0.8848092,-0.75631547
513,0.5778223,0.31923702,-0.6438002
514,1.1860038,1.0670305,-0.44926202
515,1.5606996,1.2925271,-0.2339518
516,1.7003782,1.1059781,-0.014380646
517,1.5532429,0.7323477,0.1796915
518,1.2776804,0.53241676,0.21963774
519,1.057044,0.47436157,0.22602913
520,0.93547434,0.59000593,0.26011658
521,0.90458256,0.8362745,0.24839902
522,0.9600413,1.0579761,0.27136812
523,1.0415316,1.1374025,0.3358147
524,1.1230885,1.1491201,0.4824174
525,1.1310778,1.0542479,0.55172414
526,1.1567099,0.8746229,0.6225621
527,1.2147651,0.84053546,0.7680996
528,1.3256159,0.7109765,0.8240909
529,1.3725528,0.7398043,0.83154756
530,1.3256159,0.7504567,0.77023005
531,1.2734195,0.7173679,0.6508574
532,1.2515823,0.7722939,0.5351464
533,1.2803435,0.7424674,0.46537367
534,1.3294108,0.7003241,0.41896945
535,1.3879986,0.6385406,0.43974152
536,1.4306746,0.6688998,0.49626544
537,1.4642293,0.67475855,0.5410052
538,1.4652946,0.6598453,0.55172414
539,1.4023793,0.6752912,0.5111787
540,1.3400631,0.6864761,0.41204545
541,1.3091048,0.66250837,0.30758604
542,1.321355,0.6704976,0.28202045
543,1.3240181,0.6774216,0.2537252
544,1.2995178,0.69020444,0.24999687
545,1.2473212,0.61983246,0.26011658
546,1.2046454,0.6017235,0.27349856
547,1.159373,0.5521902,0.2958685
548,1.0879358,0.47010064,0.30439034
549,1.0335424,0.42848998,0.28628138
550,0.9893352,0.35545495,0.25479043
551,0.9579108,0.36031508,0.23348576
552,0.9147023,0.37256524,0.18661551
553,0.86403716,0.35279188,0.16950521
554,0.8192974,0.33628076,0.150331
555,0.7680996,0.3149761,0.11997187
556,0.70525086,0.26164785,0.07463289
557,0.65778136,0.23927797,0.02563217
558,0.58960646,0.2147776,-0.03675054
559,0.5027234,0.18282062,-0.105458066
560,0.43288407,0.10925296,-0.17369956
561,0.32789204,0.029826526,-0.23981059
562,0.1988657,-0.016045073,-0.2931388
563,0.11251524,-0.035219267,-0.32616103
564,-0.030825181,-0.058121778,-0.3794227
565,-0.15019786,-0.06983934,-0.4029244
566,-0.22802645,-0.06824149,-0.41890287
567,-0.3303554,-0.06611103,-0.4450011
568,-0.43914232,-0.077295974,-0.48075297
569,-0.54679745,-0.09487232,-0.52496016
570,-0.6528547,-0.12849373,-0.56384116
571,-0.7653034,-0.16417904,-0.6097128
572,-0.8836108,-0.2249639,-0.65445256
573,-0.9966586,-0.2697037,-0.6992589
574,-1.1069769,-0.2760951,-0.7424008
575,-1.2236865,-0.28834528,-0.8015879
576,-1.3260154,-0.36883694,-0.8719598
577,-1.4214203,-0.4920045,-0.93966866
578,-1.5467184,-0.59113777,-0.99293035
579,-1.6943197,-0.70145595,-1.0324105
580,-1.8462485,-0.87042856,-1.0499868
581,-1.9720126,-0.890668,-1.0558456
582,-2.1697464,-1.0761516,-1.0398672
583,-2.3131535,-1.2834727,-0.95724505
584,-2.39258,-1.401314,-0.95831025
585,-2.492246,-1.542524,-0.8921992
586,-2.504496,-1.6528422,-0.74293345
587,-2.4389176,-1.6459181,-0.53135157
588,-2.2736733,-1.4684237,-0.34160691
589,-2.0748742,-1.2701572,-0.1721017
590,-1.9112278,-1.0148342,-0.049000718
591,-1.7977139,-0.6945319,0.11890664
592,-1.8244113,-0.28408432,0.13435252
593,-1.8147576,-0.098068014,0.018708155
594,-1.8670206,-0.108254306,-0.06391398
595,-2.1005063,-0.0815569,-0.06551183
596,-2.5108874,0.040478855,-0.06710968
597,-3.0209343,0.1727009,-0.05912043
598,-3.6035502,-0.06025224,-0.0015312724
599,-4.429705,-0.5143744,0.057589162
600,-5.3581886,-1.0431294,0.12370019
601,-5.9220963,-1.4066402,0.23614885
602,-6.4860044,-1.0404663,0.58900726
603,-6.55318,-0.6502582,0.74786013
604,-6.091602,-0.7376739,0.34966275
605,-5.076235,0.0644466,-0.34586784
606,-3.7245207,2.7331882,-1.1800119
607,-3.8849714,4.4041395,-1.0083762
608,-4.508066,5.4557905,-0.73015064
609,-5.223836,5.651394,-0.8404689
610,-5.672632,5.3288946,-1.1272829
611,-5.38695,4.1307073,-1.511033
612,-4.5506754,1.9342635,-1.7871281
613,-3.6813788,-0.2313553,-1.8521073
614,-2.5663462,-1.2051114,-1.8308027
615,-1.5285428,-0.75258714,-1.9176857
616,-1.3564411,-1.2184935,-1.900642
617,-1.4128984,-2.7460375,-1.7497784
618,-1.4118332,-4.477241,-1.5915247
619,-0.9784831,-6.0927334,-1.1496527
620,-0.15665583,-4.747477,-0.61344105
621,0.3784906,-3.333913,-0.3703682
622,0.62795484,-2.4160817,-0.40452224
623,1.0074441,-1.0734886,-0.4882096
624,1.2099715,-0.5532554,-0.558515
625,1.2979199,-0.6396059,-0.5782884
626,1.3170941,-0.63907325,-0.5036555
627,1.3245506,-0.34646705,-0.45405558
628,1.3597699,-0.003195699,-0.35492232
629,1.4487835,0.24407151,-0.25525647
630,1.569754,0.45358953,-0.19393899
631,1.6076363,0.76643515,-0.120437905
632,1.6422564,1.1917961,-0.058587816
633,1.6491804,1.6149598,0.00059919356
634,1.5889282,1.9534377,0.02083862
635,1.4391963,2.0935824,0.045871597
636,1.2307436,1.6330688,0.01178414
637,1.082077,0.27716032,-0.08894696
638,0.99040043,-0.84000283,-0.13109024
639,0.8592436,-2.0702138,-0.12842716
640,0.6615097,-3.0775914,-0.12523146
641,0.6029219,-3.423992,-0.08575126
642,0.5970631,-3.5732577,-0.055392116
643,0.5858116,-3.6942282,-0.015445879
644,0.55225676,-3.7837744,0.04427375
645,0.50698435,-3.8440266,0.10292814
646,0.47975433,-3.8195262,0.17543057
