Timestamp,Milliseconds,X,Y,Z
2021-10-07 12:26:08,1,0.13921264,-0.6135076,-0.021837277
2021-10-07 12:26:08,11,0.052329574,-1.3847363,0.25905135
2021-10-07 12:26:08,20,0.022969088,-1.5632961,0.33368424
2021-10-07 12:26:08,30,0.016045073,-1.6650923,0.40512145
2021-10-07 12:26:08,41,0.012849374,-1.8468478,0.44773075
2021-10-07 12:26:08,50,0.0139146065,-2.0227444,0.47336292
2021-10-07 12:26:08,60,0.059786204,-2.0195487,0.48774356
2021-10-07 12:26:08,70,0.19407214,-2.019016,0.48827618
2021-10-07 12:26:08,81,0.33321822,-2.2546322,0.4290892
2021-10-07 12:26:08,90,0.4557866,-2.5061605,0.36943612
2021-10-07 12:26:08,100,0.5378761,-2.8089528,0.17809364
2021-10-07 12:26:08,110,0.55225676,-3.1756594,0.12529804
2021-10-07 12:26:08,120,0.49093926,-3.5156684,0.10985216
2021-10-07 12:26:08,130,0.3300225,-3.8061442,0.10559122
2021-10-07 12:26:08,141,0.19513738,-4.0390973,0.12689589
2021-10-07 12:26:08,150,0.05605789,-4.481502,0.2377467
2021-10-07 12:26:08,160,0.032090146,-4.8290343,0.3001294
2021-10-07 12:26:08,170,0.04327509,-5.57523,0.3347495
2021-10-07 12:26:09,181,0.09067796,-6.0922008,0.3593164
2021-10-07 12:26:09,190,0.1701044,-6.7573724,0.4493286
2021-10-07 12:26:09,200,0.19833307,-7.1614285,0.5090482
2021-10-07 12:26:09,210,0.2121811,-7.726934,0.6572488
2021-10-07 12:26:09,221,0.2516613,-8.274331,0.8320801
2021-10-07 12:26:09,230,0.2671072,-8.819064,0.98234457
2021-10-07 12:26:09,240,0.19939831,-9.332839,1.10711
2021-10-07 12:26:09,250,0.16158253,-10.026838,1.2392654
2021-10-07 12:26:09,260,0.06724283,-10.446274,1.2770813
2021-10-07 12:26:09,271,-0.19660208,-11.086946,1.2184935
2021-10-07 12:26:09,280,-0.33248585,-11.502719,1.1103057
2021-10-07 12:26:09,290,-0.25206077,-11.610907,0.96849656
2021-10-07 12:26:09,300,-0.24080925,-12.045322,0.8693633
2021-10-07 12:26:09,311,-0.2168415,-12.562293,0.8368737
2021-10-07 12:26:09,320,-0.3927381,-13.804221,0.8549827
2021-10-07 12:26:09,330,-0.5067846,-14.574385,0.8832113
2021-10-07 12:26:09,340,-0.797793,-5.027301,0.92961556
2021-10-07 12:26:09,350,-0.69013786,0.8240243,1.4732839
2021-10-07 12:26:09,361,-0.049999375,0.41410935,1.9220133
2021-10-07 12:26:09,370,0.19939831,0.28088865,1.8980455
2021-10-07 12:26:09,380,0.49952772,-0.06717626,1.5414587
2021-10-07 12:26:09,390,0.84805864,-1.0681624,1.102849
2021-10-07 12:26:09,400,1.2222217,-1.6875288,1.0521839
2021-10-07 12:26:09,411,1.4541097,-2.0590289,1.198254
2021-10-07 12:26:09,420,1.3784115,-2.014755,1.4316732
2021-10-07 12:26:09,430,1.1556447,-1.4838696,1.5569047
2021-10-07 12:26:09,441,0.84166723,-0.84426373,1.699779
2021-10-07 12:26:09,450,0.5064517,-0.13222206,1.772814
2021-10-07 12:26:09,460,0.13921264,0.4562526,1.7456506
2021-10-07 12:26:09,470,-0.16038415,0.8330788,1.6614306
2021-10-07 12:26:09,480,-0.68694216,1.4198891,1.481273
2021-10-07 12:26:09,491,-1.1437274,1.704506,1.3538446
2021-10-07 12:26:09,500,-1.6079693,1.8339983,1.2467221
2021-10-07 12:26:09,511,-2.0317323,1.8079002,1.159839
2021-10-07 12:26:09,520,-2.3104904,1.8105632,1.1193602
2021-10-07 12:26:09,530,-2.6148143,1.9262077,1.0820104
2021-10-07 12:26:09,540,-2.8216026,2.109561,1.0591079
