,ax,ay,az
301,-2.4272194,-9.372986,-1.4416757
302,-2.3551357,-9.349057,-1.4392828
303,-2.3455644,-9.293723,-1.4273187
304,-2.2713869,-9.3200445,-1.4679967
305,-2.2307088,-9.24826,-1.5113666
306,-2.175674,-9.224331,-1.559223
307,-2.228316,-9.233903,-1.6645073
308,-2.1828525,-9.267402,-1.6238292
309,-2.1661026,-9.288938,-1.6453646
310,-2.216352,-9.29133,-1.6884354
311,-2.2211375,-9.243474,-1.7171494
312,-2.2378874,-9.23151,-1.7410775
313,-2.2474587,-9.2075815,-1.7075781
314,-2.3264217,-9.226724,-1.6716857
315,-2.3670998,-9.245867,-1.6716857
316,-2.4726832,-9.245867,-1.5927225
317,-2.5061827,-9.303294,-1.5975082
318,-2.568396,-9.303294,-1.5544374
319,-2.582753,-9.305687,-1.5017953
320,-2.5803602,-9.317652,-1.5855441
321,-2.5707889,-9.303294,-1.5233307
322,-2.5731816,-9.276974,-1.4703895
323,-2.5899315,-9.274581,-1.4679967
324,-2.5612175,-9.262616,-1.5113666
325,-2.582753,-9.250652,-1.5257236
326,-2.5636103,-9.267402,-1.57358
327,-2.5348964,-9.296116,-1.5759728
328,-2.4942186,-9.3104725,-1.5903298
329,-2.4894328,-9.368199,-1.6429719
330,-2.4487548,-9.327223,-1.6022938
331,-2.4296124,-9.303294,-1.5616158
332,-2.4726832,-9.257831,-1.5400804
333,-2.5372894,-9.253045,-1.5257236
334,-2.554039,-9.245867,-1.5209379
335,-2.5301108,-9.226724,-1.4656038
336,-2.5444677,-9.262616,-1.4679967
337,-2.5636103,-9.255438,-1.4656038
338,-2.4774687,-9.2793665,-1.4727824
339,-2.4631119,-9.29133,-1.4608182
340,-2.4942186,-9.329616,-1.518545
341,-2.4415765,-9.269794,-1.492224
342,-2.4248266,-9.293723,-1.5352948
343,-2.4726832,-9.329616,-1.5448661
344,-2.3865414,-9.241081,-1.5807585
345,-2.3913271,-9.312865,-1.5017953
346,-2.3985057,-9.245867,-1.5209379
347,-2.3913271,-9.226724,-1.5448661
348,-2.364707,-9.255438,-1.559223
349,-2.408077,-9.29133,-1.5640087
350,-2.4008985,-9.30808,-1.5017953
351,-2.3841486,-9.293723,-1.5209379
352,-2.4104698,-9.3104725,-1.5137594
353,-2.4511478,-9.272188,-1.506581
354,-2.4559333,-9.317652,-1.506581
355,-2.4224339,-9.260223,-1.4584254
356,-2.4008985,-9.245867,-1.4488541
357,-2.4535406,-9.3200445,-1.4970096
358,-2.3814569,-9.267402,-1.4946169
359,-2.3889344,-9.272188,-1.5209379
360,-2.3961127,-9.267402,-1.506581
361,-2.3913271,-9.276974,-1.5568303
362,-2.39372,-9.262616,-1.5951154
363,-2.4032912,-9.288938,-1.5927225
364,-2.3431716,-9.298509,-1.5496517
365,-2.3694925,-9.274581,-1.547259
366,-2.4008985,-9.296116,-1.5257236
367,-2.4272194,-9.274581,-1.5352948
368,-2.4320052,-9.288938,-1.4898312
369,-2.4678974,-9.260223,-1.4584254
370,-2.4128625,-9.322437,-1.4751751
371,-2.4702902,-9.284152,-1.477568
372,-2.4152553,-9.274581,-1.4703895
373,-2.4272194,-9.296116,-1.4560326
374,-2.405684,-9.29133,-1.4560326
375,-2.3814569,-9.281759,-1.4679967
376,-2.408077,-9.272188,-1.4703895
377,-2.4152553,-9.265009,-1.451247
378,-2.4248266,-9.30808,-1.4850456
379,-2.3407788,-9.344272,-1.4608182
380,-2.3961127,-9.372986,-1.4823537
381,-2.335993,-9.3562355,-1.4850456
