,mx,my,mz
668,-33.075,4.425,-24.562502
669,-33.600002,3.6562502,-26.812502
670,-35.025,3.8437502,-25.143751
671,-32.53125,4.4812503,-26.04375
672,-33.825,4.5,-26.175001
673,-33.45,3.7875001,-25.66875
674,-33.375,5.68125,-27.187502
675,-32.756252,2.4750001,-25.987501
676,-34.18125,3.8812501,-25.331251
677,-32.775,4.1062503,-25.706251
678,-34.10625,3.1875002,-25.312502
679,-33.80625,4.51875,-24.54375
680,-33.80625,4.21875,-27.7875
681,-35.1375,4.8,-26.79375
682,-34.55625,5.025,-24.54375
683,-32.79375,4.1062503,-27.000002
684,-35.15625,5.2312503,-25.500002
685,-33.600002,3.6562502,-26.325
686,-33.131252,4.8375,-25.3875
687,-33.131252,4.8375,-25.3875
688,-32.11875,3.075,-26.343752
689,-32.925003,5.49375,-26.550001
690,-33.825,4.5,-27.300001
691,-32.925003,2.7562501,-25.66875
692,-34.125,3.16875,-26.456251
693,-34.162502,3.8812501,-24.525002
694,-32.943752,4.275,-25.5375
695,-31.3875,4.2000003,-27.056252
696,-33.300003,4.9875,-26.85
697,-33.412502,3.5062501,-24.862501
698,-33.675003,4.3500004,-27.468752
699,-33.0,3.45,-25.687502
700,-33.1875,3.8812501,-26.831251
701,-33.0,4.9500003,-26.04375
702,-33.9375,4.3875003,-25.2
703,-34.93125,4.3875003,-24.50625
704,-31.556252,3.2812502,-25.3875
705,-34.050003,5.49375,-25.5375
706,-31.85625,4.8187504,-26.400002
707,-32.71875,3.4125001,-26.98125
708,-33.881252,3.6937501,-25.500002
709,-33.825,4.5,-26.175001
710,-33.037502,5.3812504,-25.575
711,-32.006252,3.61875,-24.900002
712,-31.987501,3.3187501,-26.19375
713,-33.1875,3.8812501,-26.831251
714,-34.256252,3.3375,-25.48125
715,-31.743752,3.7125,-26.38125
716,-32.925003,4.275,-25.218752
717,-35.081253,4.5375004,-24.675001
718,-34.18125,3.8625002,-26.1375
719,-33.91875,3.9750001,-26.79375
720,-34.36875,4.4437504,-25.181252
721,-33.6375,4.36875,-24.712502
722,-34.18125,3.8625002,-26.1375
723,-33.300003,4.9875,-26.04375
724,-33.16875,3.6000001,-26.812502
725,-33.45,3.7875001,-25.35
726,-32.4375,3.525,-26.343752
727,-33.1875,3.8812501,-26.831251
728,-33.506252,4.2000003,-25.687502
729,-34.537502,4.59375,-26.475
730,-34.443752,3.61875,-26.456251
731,-33.61875,3.9375002,-25.518751
732,-33.787502,4.51875,-24.056252
733,-33.956253,5.8875003,-25.725
734,-31.81875,4.40625,-26.062502
735,-35.30625,5.1000004,-26.475
736,-34.74375,5.175,-26.00625
737,-33.525,4.4812503,-26.175001
738,-34.575,5.0062504,-26.493752
739,-33.693752,4.6312504,-27.150002
740,-33.825,3.2812502,-25.48125
741,-34.3125,5.26875,-24.88125
742,-34.21875,4.2937503,-26.156252
743,-33.825,4.5,-26.98125
744,-34.050003,5.49375,-26.025002
745,-35.0625,4.1062503,-26.2875
746,-33.581253,4.875,-27.000002
747,-34.331253,5.25,-26.5125
748,-33.975002,4.6687503,-25.518751
749,-35.4,4.8562503,-25.48125
750,-34.818752,3.2812502,-24.806252
751,-33.5625,4.89375,-24.900002
752,-34.0125,5.08125,-26.025002
753,-32.456253,3.80625,-25.5375
754,-33.506252,4.2000003,-25.687502
755,-33.5625,4.89375,-25.706251
756,-33.5625,4.89375,-24.900002
757,-33.112503,4.8562503,-23.775002
758,-33.675003,4.3500004,-27.150002
759,-32.568752,4.9125004,-25.25625
760,-33.862503,4.93125,-26.175001
761,-35.30625,5.1000004,-26.1375
762,-33.9375,4.3875003,-25.2
763,-33.862503,4.9125004,-26.5125
764,-32.925003,5.49375,-26.23125
765,-34.0125,5.08125,-25.218752
766,-33.16875,5.11875,-25.725
767,-32.943752,4.2562504,-26.85
768,-33.84375,3.2812502,-27.112501
769,-31.518751,2.8500001,-26.19375
770,-34.518753,4.3125,-26.962502
771,-33.65625,4.3500004,-25.518751
772,-32.79375,4.0875,-27.806252
773,-33.5625,3.24375,-26.79375
774,-33.412502,6.0937505,-26.8875
775,-34.4625,3.91875,-25.331251
776,-32.5125,4.21875,-25.556252
777,-34.4625,5.11875,-27.150002
778,-34.4625,5.11875,-27.150002
779,-33.881252,5.2125,-25.706251
780,-32.8125,4.3875003,-26.531252
781,-32.8125,4.3875003,-26.531252
782,-33.16875,3.6000001,-26.812502
783,-35.0625,4.1062503,-26.775002
784,-33.84375,3.2812502,-26.306252
785,-32.90625,3.8437502,-26.831251
786,-34.237503,4.5750003,-25.66875
