,ax,ay,az
301,-2.3623142,-9.272188,-1.2406785
302,-2.3431716,-9.262616,-1.1949158
303,-2.3479571,-9.269794,-1.2263216
304,-2.408077,-9.317652,-1.1805589
305,-2.458326,-9.286545,-1.2116655
306,-2.5109682,-9.281759,-1.1805589
307,-2.5109682,-9.293723,-1.2116655
308,-2.606681,-9.276974,-1.2239288
309,-2.6186452,-9.272188,-1.2454642
310,-2.6330023,-9.281759,-1.2263216
311,-2.6620152,-9.2793665,-1.2909278
312,-2.7194428,-9.303294,-1.2287145
313,-2.7314072,-9.274581,-1.288535
314,-2.7146573,-9.281759,-1.302892
315,-2.6811578,-9.257831,-1.3220345
316,-2.7553353,-9.257831,-1.2646067
317,-2.7696922,-9.233903,-1.3555341
318,-2.6907291,-9.253045,-1.3387842
319,-2.812763,-9.272188,-1.3507484
320,-2.7529426,-9.262616,-1.3196417
321,-2.7529426,-9.262616,-1.3196417
322,-2.8486555,-9.253045,-1.2717853
323,-2.7888348,-9.296116,-1.2669996
324,-2.786442,-9.260223,-1.288535
325,-2.7505496,-9.253045,-1.302892
326,-2.7074788,-9.272188,-1.288535
327,-2.6668007,-9.272188,-1.2789637
328,-2.5803602,-9.238688,-1.2717853
329,-2.5731816,-9.245867,-1.274178
330,-2.5731816,-9.272188,-1.2813566
331,-2.5325036,-9.253045,-1.3316058
332,-2.5444677,-9.269794,-1.3244274
333,-2.5707889,-9.288938,-1.3052847
334,-2.568396,-9.284152,-1.2406785
335,-2.652444,-9.274581,-1.2526426
336,-2.693122,-9.293723,-1.192523
337,-2.7098715,-9.3104725,-1.2358929
338,-2.7146573,-9.284152,-1.2167503
339,-2.6859434,-9.284152,-1.2406785
340,-2.6739793,-9.23151,-1.2092727
341,-2.6425736,-9.265009,-1.2092727
342,-2.5995028,-9.269794,-1.1638091
343,-2.5755744,-9.303294,-1.1470593
344,-2.556432,-9.329616,-1.1327025
345,-2.5492535,-9.358628,-1.1398809
346,-2.5325036,-9.334401,-1.1422737
347,-2.4822545,-9.3562355,-1.2646067
348,-2.4702902,-9.32483,-1.3004991
349,-2.4918256,-9.260223,-1.2717853
350,-2.5301108,-9.236296,-1.3603196
